"","md_date","observed_year","fishery_status","sighting"
"1","08/01",2014,FALSE,"yes"
"2","08/01",2015,TRUE,"yes"
"3","08/01",2016,FALSE,"yes"
"4","08/01",2017,FALSE,"no"
"5","08/01",2018,FALSE,"yes"
"6","08/01",2019,FALSE,"no"
"7","08/01",2020,FALSE,"no"
"8","08/01",2021,FALSE,"no"
"9","08/01",2022,FALSE,"no"
"10","08/01",2023,FALSE,"no"
"11","08/02",2014,FALSE,"yes"
"12","08/02",2015,TRUE,"yes"
"13","08/02",2016,FALSE,"no"
"14","08/02",2017,FALSE,"no"
"15","08/02",2018,TRUE,"yes"
"16","08/02",2019,FALSE,"no"
"17","08/02",2020,FALSE,"no"
"18","08/02",2021,FALSE,"no"
"19","08/02",2022,FALSE,"no"
"20","08/02",2023,FALSE,"no"
"21","08/03",2014,FALSE,"yes"
"22","08/03",2015,FALSE,"yes"
"23","08/03",2016,FALSE,"yes"
"24","08/03",2017,FALSE,"yes"
"25","08/03",2018,TRUE,"no"
"26","08/03",2019,FALSE,"no"
"27","08/03",2020,FALSE,"no"
"28","08/03",2021,FALSE,"no"
"29","08/03",2022,FALSE,"no"
"30","08/03",2023,FALSE,"no"
"31","08/04",2014,FALSE,"yes"
"32","08/04",2015,FALSE,"yes"
"33","08/04",2016,FALSE,"yes"
"34","08/04",2017,FALSE,"yes"
"35","08/04",2018,TRUE,"no"
"36","08/04",2019,FALSE,"no"
"37","08/04",2020,FALSE,"no"
"38","08/04",2021,FALSE,"no"
"39","08/04",2022,FALSE,"yes"
"40","08/04",2023,FALSE,"no"
"41","08/05",2014,FALSE,"yes"
"42","08/05",2015,TRUE,"yes"
"43","08/05",2016,FALSE,"yes"
"44","08/05",2017,FALSE,"no"
"45","08/05",2018,FALSE,"no"
"46","08/05",2019,FALSE,"no"
"47","08/05",2020,FALSE,"no"
"48","08/05",2021,FALSE,"no"
"49","08/05",2022,FALSE,"yes"
"50","08/05",2023,FALSE,"no"
"51","08/06",2014,FALSE,"yes"
"52","08/06",2015,TRUE,"yes"
"53","08/06",2016,FALSE,"yes"
"54","08/06",2017,FALSE,"no"
"55","08/06",2018,TRUE,"no"
"56","08/06",2019,FALSE,"no"
"57","08/06",2020,FALSE,"no"
"58","08/06",2021,FALSE,"no"
"59","08/06",2022,FALSE,"yes"
"60","08/06",2023,FALSE,"no"
"61","08/07",2014,TRUE,"yes"
"62","08/07",2015,FALSE,"yes"
"63","08/07",2016,FALSE,"no"
"64","08/07",2017,FALSE,"no"
"65","08/07",2018,TRUE,"no"
"66","08/07",2019,FALSE,"no"
"67","08/07",2020,FALSE,"yes"
"68","08/07",2021,FALSE,"no"
"69","08/07",2022,FALSE,"yes"
"70","08/07",2023,FALSE,"no"
"71","08/08",2014,TRUE,"yes"
"72","08/08",2015,TRUE,"yes"
"73","08/08",2016,FALSE,"yes"
"74","08/08",2017,FALSE,"no"
"75","08/08",2018,TRUE,"no"
"76","08/08",2019,FALSE,"no"
"77","08/08",2020,FALSE,"no"
"78","08/08",2021,FALSE,"no"
"79","08/08",2022,FALSE,"yes"
"80","08/08",2023,FALSE,"no"
"81","08/09",2014,TRUE,"yes"
"82","08/09",2015,TRUE,"yes"
"83","08/09",2016,FALSE,"yes"
"84","08/09",2017,FALSE,"no"
"85","08/09",2018,TRUE,"yes"
"86","08/09",2019,FALSE,"no"
"87","08/09",2020,FALSE,"no"
"88","08/09",2021,FALSE,"no"
"89","08/09",2022,FALSE,"yes"
"90","08/09",2023,FALSE,"no"
"91","08/10",2014,TRUE,"yes"
"92","08/10",2015,TRUE,"yes"
"93","08/10",2016,FALSE,"yes"
"94","08/10",2017,FALSE,"no"
"95","08/10",2018,FALSE,"yes"
"96","08/10",2019,FALSE,"no"
"97","08/10",2020,FALSE,"no"
"98","08/10",2021,FALSE,"no"
"99","08/10",2022,FALSE,"no"
"100","08/10",2023,FALSE,"no"
"101","08/11",2014,TRUE,"yes"
"102","08/11",2015,FALSE,"yes"
"103","08/11",2016,FALSE,"yes"
"104","08/11",2017,FALSE,"no"
"105","08/11",2018,FALSE,"yes"
"106","08/11",2019,FALSE,"no"
"107","08/11",2020,FALSE,"no"
"108","08/11",2021,FALSE,"no"
"109","08/11",2022,FALSE,"no"
"110","08/11",2023,FALSE,"no"
"111","08/12",2014,TRUE,"yes"
"112","08/12",2015,FALSE,"yes"
"113","08/12",2016,FALSE,"yes"
"114","08/12",2017,FALSE,"no"
"115","08/12",2018,FALSE,"yes"
"116","08/12",2019,FALSE,"no"
"117","08/12",2020,FALSE,"no"
"118","08/12",2021,FALSE,"no"
"119","08/12",2022,FALSE,"no"
"120","08/12",2023,FALSE,"no"
"121","08/13",2014,TRUE,"yes"
"122","08/13",2015,FALSE,"yes"
"123","08/13",2016,FALSE,"yes"
"124","08/13",2017,FALSE,"no"
"125","08/13",2018,FALSE,"yes"
"126","08/13",2019,FALSE,"no"
"127","08/13",2020,FALSE,"no"
"128","08/13",2021,FALSE,"no"
"129","08/13",2022,TRUE,"yes"
"130","08/13",2023,FALSE,"no"
"131","08/14",2014,TRUE,"yes"
"132","08/14",2015,FALSE,"yes"
"133","08/14",2016,FALSE,"yes"
"134","08/14",2017,FALSE,"no"
"135","08/14",2018,FALSE,"no"
"136","08/14",2019,FALSE,"no"
"137","08/14",2020,FALSE,"no"
"138","08/14",2021,FALSE,"no"
"139","08/14",2022,TRUE,"no"
"140","08/14",2023,FALSE,"no"
"141","08/15",2014,TRUE,"yes"
"142","08/15",2015,FALSE,"yes"
"143","08/15",2016,FALSE,"yes"
"144","08/15",2017,FALSE,"yes"
"145","08/15",2018,TRUE,"no"
"146","08/15",2019,FALSE,"yes"
"147","08/15",2020,FALSE,"no"
"148","08/15",2021,FALSE,"no"
"149","08/15",2022,TRUE,"no"
"150","08/15",2023,FALSE,"no"
"151","08/16",2014,TRUE,"yes"
"152","08/16",2015,FALSE,"yes"
"153","08/16",2016,FALSE,"yes"
"154","08/16",2017,FALSE,"no"
"155","08/16",2018,TRUE,"no"
"156","08/16",2019,FALSE,"yes"
"157","08/16",2020,FALSE,"yes"
"158","08/16",2021,FALSE,"no"
"159","08/16",2022,TRUE,"no"
"160","08/16",2023,FALSE,"no"
"161","08/17",2014,TRUE,"yes"
"162","08/17",2015,FALSE,"yes"
"163","08/17",2016,FALSE,"yes"
"164","08/17",2017,FALSE,"no"
"165","08/17",2018,TRUE,"no"
"166","08/17",2019,FALSE,"yes"
"167","08/17",2020,FALSE,"yes"
"168","08/17",2021,FALSE,"no"
"169","08/17",2022,TRUE,"no"
"170","08/17",2023,FALSE,"yes"
"171","08/18",2014,TRUE,"yes"
"172","08/18",2015,FALSE,"yes"
"173","08/18",2016,FALSE,"yes"
"174","08/18",2017,FALSE,"no"
"175","08/18",2018,FALSE,"yes"
"176","08/18",2019,FALSE,"yes"
"177","08/18",2020,FALSE,"yes"
"178","08/18",2021,FALSE,"no"
"179","08/18",2022,FALSE,"no"
"180","08/18",2023,FALSE,"yes"
"181","08/19",2014,TRUE,"yes"
"182","08/19",2015,FALSE,"yes"
"183","08/19",2016,FALSE,"no"
"184","08/19",2017,FALSE,"no"
"185","08/19",2018,FALSE,"no"
"186","08/19",2019,FALSE,"yes"
"187","08/19",2020,FALSE,"yes"
"188","08/19",2021,FALSE,"no"
"189","08/19",2022,FALSE,"no"
"190","08/19",2023,FALSE,"yes"
"191","08/20",2014,TRUE,"yes"
"192","08/20",2015,FALSE,"yes"
"193","08/20",2016,FALSE,"yes"
"194","08/20",2017,FALSE,"no"
"195","08/20",2018,FALSE,"no"
"196","08/20",2019,FALSE,"yes"
"197","08/20",2020,FALSE,"no"
"198","08/20",2021,FALSE,"no"
"199","08/20",2022,TRUE,"no"
"200","08/20",2023,TRUE,"no"
"201","08/21",2014,TRUE,"yes"
"202","08/21",2015,FALSE,"yes"
"203","08/21",2016,FALSE,"yes"
"204","08/21",2017,FALSE,"no"
"205","08/21",2018,FALSE,"no"
"206","08/21",2019,TRUE,"no"
"207","08/21",2020,FALSE,"yes"
"208","08/21",2021,FALSE,"no"
"209","08/21",2022,TRUE,"no"
"210","08/21",2023,FALSE,"yes"
"211","08/22",2014,FALSE,"yes"
"212","08/22",2015,FALSE,"yes"
"213","08/22",2016,FALSE,"yes"
"214","08/22",2017,FALSE,"no"
"215","08/22",2018,FALSE,"no"
"216","08/22",2019,TRUE,"yes"
"217","08/22",2020,FALSE,"no"
"218","08/22",2021,FALSE,"no"
"219","08/22",2022,FALSE,"no"
"220","08/22",2023,FALSE,"no"
"221","08/23",2014,TRUE,"yes"
"222","08/23",2015,FALSE,"yes"
"223","08/23",2016,FALSE,"yes"
"224","08/23",2017,FALSE,"no"
"225","08/23",2018,FALSE,"yes"
"226","08/23",2019,FALSE,"no"
"227","08/23",2020,FALSE,"no"
"228","08/23",2021,FALSE,"no"
"229","08/23",2022,FALSE,"no"
"230","08/23",2023,TRUE,"no"
"231","08/24",2014,TRUE,"yes"
"232","08/24",2015,FALSE,"yes"
"233","08/24",2016,FALSE,"no"
"234","08/24",2017,FALSE,"no"
"235","08/24",2018,TRUE,"yes"
"236","08/24",2019,TRUE,"no"
"237","08/24",2020,FALSE,"yes"
"238","08/24",2021,FALSE,"no"
"239","08/24",2022,FALSE,"no"
"240","08/24",2023,TRUE,"no"
"241","08/25",2014,TRUE,"no"
"242","08/25",2015,TRUE,"yes"
"243","08/25",2016,FALSE,"yes"
"244","08/25",2017,TRUE,"yes"
"245","08/25",2018,FALSE,"yes"
"246","08/25",2019,TRUE,"yes"
"247","08/25",2020,FALSE,"no"
"248","08/25",2021,FALSE,"yes"
"249","08/25",2022,FALSE,"no"
"250","08/25",2023,TRUE,"no"
"251","08/26",2014,FALSE,"yes"
"252","08/26",2015,TRUE,"yes"
"253","08/26",2016,FALSE,"yes"
"254","08/26",2017,FALSE,"no"
"255","08/26",2018,FALSE,"no"
"256","08/26",2019,FALSE,"yes"
"257","08/26",2020,FALSE,"no"
"258","08/26",2021,FALSE,"no"
"259","08/26",2022,FALSE,"no"
"260","08/26",2023,TRUE,"no"
"261","08/27",2014,TRUE,"yes"
"262","08/27",2015,TRUE,"yes"
"263","08/27",2016,FALSE,"yes"
"264","08/27",2017,FALSE,"no"
"265","08/27",2018,FALSE,"no"
"266","08/27",2019,FALSE,"yes"
"267","08/27",2020,FALSE,"no"
"268","08/27",2021,TRUE,"no"
"269","08/27",2022,FALSE,"no"
"270","08/27",2023,TRUE,"no"
"271","08/28",2014,TRUE,"yes"
"272","08/28",2015,TRUE,"yes"
"273","08/28",2016,FALSE,"yes"
"274","08/28",2017,TRUE,"no"
"275","08/28",2018,FALSE,"yes"
"276","08/28",2019,FALSE,"no"
"277","08/28",2020,FALSE,"no"
"278","08/28",2021,FALSE,"no"
"279","08/28",2022,FALSE,"no"
"280","08/28",2023,TRUE,"no"
"281","08/29",2014,TRUE,"yes"
"282","08/29",2015,FALSE,"yes"
"283","08/29",2016,FALSE,"yes"
"284","08/29",2017,TRUE,"no"
"285","08/29",2018,FALSE,"no"
"286","08/29",2019,FALSE,"yes"
"287","08/29",2020,FALSE,"no"
"288","08/29",2021,TRUE,"no"
"289","08/29",2022,FALSE,"no"
"290","08/29",2023,TRUE,"no"
"291","08/30",2014,TRUE,"yes"
"292","08/30",2015,TRUE,"yes"
"293","08/30",2016,FALSE,"yes"
"294","08/30",2017,TRUE,"no"
"295","08/30",2018,FALSE,"no"
"296","08/30",2019,FALSE,"yes"
"297","08/30",2020,FALSE,"yes"
"298","08/30",2021,FALSE,"yes"
"299","08/30",2022,FALSE,"no"
"300","08/30",2023,TRUE,"no"
"301","08/31",2014,TRUE,"no"
"302","08/31",2015,TRUE,"no"
"303","08/31",2016,FALSE,"yes"
"304","08/31",2017,TRUE,"no"
"305","08/31",2018,FALSE,"yes"
"306","08/31",2019,FALSE,"yes"
"307","08/31",2020,FALSE,"no"
"308","08/31",2021,TRUE,"no"
"309","08/31",2022,FALSE,"no"
"310","08/31",2023,TRUE,"no"
"311","09/01",2014,TRUE,"yes"
"312","09/01",2015,TRUE,"no"
"313","09/01",2016,FALSE,"no"
"314","09/01",2017,TRUE,"no"
"315","09/01",2018,FALSE,"yes"
"316","09/01",2019,FALSE,"no"
"317","09/01",2020,FALSE,"yes"
"318","09/01",2021,TRUE,"yes"
"319","09/01",2022,FALSE,"yes"
"320","09/01",2023,TRUE,"no"
"321","09/02",2014,TRUE,"yes"
"322","09/02",2015,FALSE,"yes"
"323","09/02",2016,FALSE,"no"
"324","09/02",2017,TRUE,"no"
"325","09/02",2018,FALSE,"yes"
"326","09/02",2019,FALSE,"no"
"327","09/02",2020,FALSE,"yes"
"328","09/02",2021,FALSE,"yes"
"329","09/02",2022,FALSE,"yes"
"330","09/02",2023,TRUE,"no"
"331","09/03",2014,TRUE,"yes"
"332","09/03",2015,FALSE,"yes"
"333","09/03",2016,FALSE,"yes"
"334","09/03",2017,TRUE,"no"
"335","09/03",2018,FALSE,"yes"
"336","09/03",2019,FALSE,"no"
"337","09/03",2020,FALSE,"yes"
"338","09/03",2021,FALSE,"no"
"339","09/03",2022,FALSE,"yes"
"340","09/03",2023,TRUE,"no"
"341","09/04",2014,TRUE,"no"
"342","09/04",2015,FALSE,"yes"
"343","09/04",2016,FALSE,"yes"
"344","09/04",2017,TRUE,"yes"
"345","09/04",2018,FALSE,"no"
"346","09/04",2019,FALSE,"yes"
"347","09/04",2020,FALSE,"no"
"348","09/04",2021,TRUE,"no"
"349","09/04",2022,FALSE,"yes"
"350","09/04",2023,TRUE,"no"
"351","09/05",2014,TRUE,"no"
"352","09/05",2015,FALSE,"yes"
"353","09/05",2016,FALSE,"yes"
"354","09/05",2017,FALSE,"no"
"355","09/05",2018,FALSE,"yes"
"356","09/05",2019,FALSE,"yes"
"357","09/05",2020,FALSE,"yes"
"358","09/05",2021,TRUE,"yes"
"359","09/05",2022,FALSE,"no"
"360","09/05",2023,TRUE,"no"
"361","09/06",2014,TRUE,"yes"
"362","09/06",2015,FALSE,"yes"
"363","09/06",2016,FALSE,"yes"
"364","09/06",2017,TRUE,"yes"
"365","09/06",2018,FALSE,"yes"
"366","09/06",2019,FALSE,"no"
"367","09/06",2020,FALSE,"no"
"368","09/06",2021,TRUE,"yes"
"369","09/06",2022,FALSE,"yes"
"370","09/06",2023,TRUE,"no"
"371","09/07",2014,TRUE,"yes"
"372","09/07",2015,FALSE,"yes"
"373","09/07",2016,FALSE,"yes"
"374","09/07",2017,TRUE,"no"
"375","09/07",2018,FALSE,"yes"
"376","09/07",2019,FALSE,"no"
"377","09/07",2020,FALSE,"no"
"378","09/07",2021,FALSE,"no"
"379","09/07",2022,FALSE,"yes"
"380","09/07",2023,TRUE,"no"
"381","09/08",2014,TRUE,"no"
"382","09/08",2015,FALSE,"yes"
"383","09/08",2016,FALSE,"yes"
"384","09/08",2017,TRUE,"no"
"385","09/08",2018,FALSE,"no"
"386","09/08",2019,FALSE,"no"
"387","09/08",2020,FALSE,"yes"
"388","09/08",2021,TRUE,"yes"
"389","09/08",2022,FALSE,"yes"
"390","09/08",2023,TRUE,"no"
"391","09/09",2014,TRUE,"no"
"392","09/09",2015,FALSE,"yes"
"393","09/09",2016,FALSE,"no"
"394","09/09",2017,TRUE,"yes"
"395","09/09",2018,FALSE,"yes"
"396","09/09",2019,FALSE,"yes"
"397","09/09",2020,FALSE,"no"
"398","09/09",2021,TRUE,"yes"
"399","09/09",2022,FALSE,"no"
"400","09/09",2023,TRUE,"yes"
"401","09/10",2014,TRUE,"yes"
"402","09/10",2015,FALSE,"yes"
"403","09/10",2016,FALSE,"yes"
"404","09/10",2017,TRUE,"yes"
"405","09/10",2018,FALSE,"no"
"406","09/10",2019,FALSE,"no"
"407","09/10",2020,FALSE,"yes"
"408","09/10",2021,FALSE,"no"
"409","09/10",2022,FALSE,"no"
"410","09/10",2023,TRUE,"yes"
"411","09/11",2014,TRUE,"yes"
"412","09/11",2015,FALSE,"yes"
"413","09/11",2016,FALSE,"yes"
"414","09/11",2017,TRUE,"yes"
"415","09/11",2018,FALSE,"yes"
"416","09/11",2019,FALSE,"no"
"417","09/11",2020,FALSE,"yes"
"418","09/11",2021,TRUE,"yes"
"419","09/11",2022,FALSE,"yes"
"420","09/11",2023,TRUE,"yes"
"421","09/12",2014,TRUE,"no"
"422","09/12",2015,FALSE,"yes"
"423","09/12",2016,FALSE,"no"
"424","09/12",2017,TRUE,"yes"
"425","09/12",2018,FALSE,"yes"
"426","09/12",2019,FALSE,"no"
"427","09/12",2020,FALSE,"yes"
"428","09/12",2021,TRUE,"yes"
"429","09/12",2022,FALSE,"no"
"430","09/12",2023,TRUE,"no"
"431","09/13",2014,TRUE,"yes"
"432","09/13",2015,FALSE,"yes"
"433","09/13",2016,FALSE,"yes"
"434","09/13",2017,FALSE,"yes"
"435","09/13",2018,FALSE,"yes"
"436","09/13",2019,TRUE,"no"
"437","09/13",2020,FALSE,"yes"
"438","09/13",2021,FALSE,"no"
"439","09/13",2022,FALSE,"no"
"440","09/13",2023,TRUE,"no"
"441","09/14",2014,TRUE,"yes"
"442","09/14",2015,FALSE,"yes"
"443","09/14",2016,FALSE,"yes"
"444","09/14",2017,FALSE,"no"
"445","09/14",2018,FALSE,"yes"
"446","09/14",2019,TRUE,"no"
"447","09/14",2020,FALSE,"no"
"448","09/14",2021,FALSE,"yes"
"449","09/14",2022,FALSE,"no"
"450","09/14",2023,FALSE,"yes"
"451","09/15",2014,TRUE,"yes"
"452","09/15",2015,FALSE,"yes"
"453","09/15",2016,FALSE,"yes"
"454","09/15",2017,FALSE,"yes"
"455","09/15",2018,FALSE,"yes"
"456","09/15",2019,TRUE,"no"
"457","09/15",2020,FALSE,"no"
"458","09/15",2021,FALSE,"yes"
"459","09/15",2022,FALSE,"no"
"460","09/15",2023,FALSE,"no"
"461","09/16",2014,TRUE,"yes"
"462","09/16",2015,FALSE,"yes"
"463","09/16",2016,FALSE,"yes"
"464","09/16",2017,FALSE,"no"
"465","09/16",2018,FALSE,"yes"
"466","09/16",2019,TRUE,"no"
"467","09/16",2020,FALSE,"no"
"468","09/16",2021,FALSE,"no"
"469","09/16",2022,FALSE,"no"
"470","09/16",2023,FALSE,"no"
"471","09/17",2014,TRUE,"yes"
"472","09/17",2015,FALSE,"yes"
"473","09/17",2016,FALSE,"no"
"474","09/17",2017,FALSE,"no"
"475","09/17",2018,FALSE,"yes"
"476","09/17",2019,FALSE,"no"
"477","09/17",2020,FALSE,"no"
"478","09/17",2021,FALSE,"yes"
"479","09/17",2022,FALSE,"no"
"480","09/17",2023,FALSE,"yes"
"481","09/18",2014,TRUE,"yes"
"482","09/18",2015,FALSE,"yes"
"483","09/18",2016,FALSE,"yes"
"484","09/18",2017,FALSE,"no"
"485","09/18",2018,FALSE,"yes"
"486","09/18",2019,FALSE,"no"
"487","09/18",2020,FALSE,"yes"
"488","09/18",2021,FALSE,"yes"
"489","09/18",2022,FALSE,"no"
"490","09/18",2023,FALSE,"yes"
"491","09/19",2014,TRUE,"yes"
"492","09/19",2015,FALSE,"no"
"493","09/19",2016,FALSE,"yes"
"494","09/19",2017,FALSE,"yes"
"495","09/19",2018,FALSE,"yes"
"496","09/19",2019,FALSE,"no"
"497","09/19",2020,FALSE,"yes"
"498","09/19",2021,FALSE,"yes"
"499","09/19",2022,FALSE,"no"
"500","09/19",2023,FALSE,"no"
"501","09/20",2014,TRUE,"yes"
"502","09/20",2015,FALSE,"yes"
"503","09/20",2016,FALSE,"yes"
"504","09/20",2017,FALSE,"yes"
"505","09/20",2018,FALSE,"yes"
"506","09/20",2019,FALSE,"no"
"507","09/20",2020,FALSE,"no"
"508","09/20",2021,FALSE,"no"
"509","09/20",2022,FALSE,"no"
"510","09/20",2023,FALSE,"no"
"511","09/21",2014,FALSE,"yes"
"512","09/21",2015,FALSE,"no"
"513","09/21",2016,FALSE,"yes"
"514","09/21",2017,FALSE,"yes"
"515","09/21",2018,FALSE,"yes"
"516","09/21",2019,FALSE,"yes"
"517","09/21",2020,FALSE,"no"
"518","09/21",2021,FALSE,"no"
"519","09/21",2022,FALSE,"no"
"520","09/21",2023,FALSE,"no"
"521","09/22",2014,FALSE,"yes"
"522","09/22",2015,FALSE,"yes"
"523","09/22",2016,FALSE,"yes"
"524","09/22",2017,FALSE,"yes"
"525","09/22",2018,FALSE,"no"
"526","09/22",2019,FALSE,"yes"
"527","09/22",2020,FALSE,"yes"
"528","09/22",2021,FALSE,"no"
"529","09/22",2022,FALSE,"no"
"530","09/22",2023,FALSE,"no"
"531","09/23",2014,FALSE,"yes"
"532","09/23",2015,FALSE,"yes"
"533","09/23",2016,FALSE,"no"
"534","09/23",2017,FALSE,"yes"
"535","09/23",2018,FALSE,"yes"
"536","09/23",2019,FALSE,"no"
"537","09/23",2020,FALSE,"no"
"538","09/23",2021,FALSE,"no"
"539","09/23",2022,FALSE,"no"
"540","09/23",2023,FALSE,"no"
"541","09/24",2014,TRUE,"yes"
"542","09/24",2015,FALSE,"yes"
"543","09/24",2016,FALSE,"no"
"544","09/24",2017,FALSE,"no"
"545","09/24",2018,FALSE,"yes"
"546","09/24",2019,FALSE,"yes"
"547","09/24",2020,FALSE,"yes"
"548","09/24",2021,FALSE,"no"
"549","09/24",2022,FALSE,"no"
"550","09/24",2023,FALSE,"no"
"551","09/25",2014,TRUE,"yes"
"552","09/25",2015,FALSE,"yes"
"553","09/25",2016,FALSE,"yes"
"554","09/25",2017,FALSE,"no"
"555","09/25",2018,FALSE,"yes"
"556","09/25",2019,FALSE,"yes"
"557","09/25",2020,FALSE,"no"
"558","09/25",2021,FALSE,"no"
"559","09/25",2022,FALSE,"no"
"560","09/25",2023,FALSE,"no"
"561","09/26",2014,TRUE,"yes"
"562","09/26",2015,FALSE,"yes"
"563","09/26",2016,FALSE,"yes"
"564","09/26",2017,FALSE,"yes"
"565","09/26",2018,FALSE,"yes"
"566","09/26",2019,FALSE,"yes"
"567","09/26",2020,FALSE,"no"
"568","09/26",2021,FALSE,"no"
"569","09/26",2022,FALSE,"no"
"570","09/26",2023,FALSE,"no"
"571","09/27",2014,TRUE,"yes"
"572","09/27",2015,FALSE,"yes"
"573","09/27",2016,FALSE,"yes"
"574","09/27",2017,FALSE,"yes"
"575","09/27",2018,FALSE,"yes"
"576","09/27",2019,FALSE,"yes"
"577","09/27",2020,FALSE,"yes"
"578","09/27",2021,FALSE,"no"
"579","09/27",2022,FALSE,"yes"
"580","09/27",2023,FALSE,"no"
"581","09/28",2014,FALSE,"yes"
"582","09/28",2015,FALSE,"yes"
"583","09/28",2016,FALSE,"yes"
"584","09/28",2017,FALSE,"no"
"585","09/28",2018,FALSE,"no"
"586","09/28",2019,FALSE,"no"
"587","09/28",2020,FALSE,"yes"
"588","09/28",2021,FALSE,"no"
"589","09/28",2022,FALSE,"yes"
"590","09/28",2023,FALSE,"no"
"591","09/29",2014,FALSE,"yes"
"592","09/29",2015,FALSE,"yes"
"593","09/29",2016,FALSE,"no"
"594","09/29",2017,FALSE,"yes"
"595","09/29",2018,FALSE,"no"
"596","09/29",2019,FALSE,"no"
"597","09/29",2020,FALSE,"no"
"598","09/29",2021,FALSE,"no"
"599","09/29",2022,FALSE,"no"
"600","09/29",2023,FALSE,"no"
"601","09/30",2014,FALSE,"yes"
"602","09/30",2015,FALSE,"yes"
"603","09/30",2016,FALSE,"no"
"604","09/30",2017,FALSE,"no"
"605","09/30",2018,FALSE,"no"
"606","09/30",2019,FALSE,"yes"
"607","09/30",2020,FALSE,"yes"
"608","09/30",2021,FALSE,"yes"
"609","09/30",2022,FALSE,"no"
"610","09/30",2023,FALSE,"no"
