year,projected,actual,area,group,notes
2016,4018,5076,7,total,
2017,950,3637,7,total,
2017,12,22,7,UM,
2017,938,3615,7,AD,
2018,1727,2295,7,total,
2018,18,4,7,UM,
2018,1709,2291,7,AD,
2019,1467,3026,7,total,
2019,20,10,7,UM,
2019,1447,3015,7,AD,
2020,1562,1556,7,total,
2020,21,7,7,UM,
2020,1541,1549,7,AD,
2021,1382,2504,7,total,
2021,17,0,7,UM,
2021,1365,2504,7,AD,
2022,10595,8678,7,total,*actual data is preliminary
2016,6166,3345,5,total,*summer 5 MSF
2016,3408,5216,6,total,
2017,4427,2316,5,total,
2017,3445,4335,6,total,
2018,3527,3839,5,total,
2018,4241,7871,6,total,
2019,4666,4567,5,total,
2019,4392,3802,6,total,
2020,3999,3649,5,total,
2020,4798,2292,6,total,
2021,4077,3947,5,total,
2021,4769,5098,6,total,