"date","year","fishery_status"
2011-07-01,2011,"open"
2011-07-02,2011,"open"
2011-07-03,2011,"open"
2011-07-04,2011,"open"
2011-07-05,2011,"open"
2011-07-06,2011,"open"
2011-07-07,2011,"open"
2011-07-08,2011,"open"
2011-07-09,2011,"open"
2011-07-10,2011,"open"
2011-07-11,2011,"open"
2011-07-12,2011,"open"
2011-07-13,2011,"open"
2011-07-14,2011,"open"
2011-07-15,2011,"open"
2011-07-16,2011,"open"
2011-07-17,2011,"open"
2011-07-18,2011,"open"
2011-07-19,2011,"open"
2011-07-20,2011,"open"
2011-07-21,2011,"open"
2011-07-22,2011,"open"
2011-07-23,2011,"open"
2011-07-24,2011,"open"
2011-07-25,2011,"open"
2011-07-26,2011,"open"
2011-07-27,2011,"open"
2011-07-28,2011,"open"
2011-07-29,2011,"open"
2011-07-30,2011,"open"
2011-07-31,2011,"open"
2011-08-01,2011,"open"
2011-08-02,2011,"open"
2011-08-03,2011,"open"
2011-08-04,2011,"open"
2011-08-05,2011,"open"
2011-08-06,2011,"open"
2011-08-07,2011,"open"
2011-08-08,2011,"open"
2011-08-09,2011,"open"
2011-08-10,2011,"open"
2011-08-11,2011,"open"
2011-08-12,2011,"open"
2011-08-13,2011,"open"
2011-08-14,2011,"open"
2011-08-15,2011,"open"
2011-08-16,2011,"open"
2011-08-17,2011,"open"
2011-08-18,2011,"open"
2011-08-19,2011,"open"
2011-08-20,2011,"open"
2011-08-21,2011,"open"
2011-08-22,2011,"open"
2011-08-23,2011,"open"
2011-08-24,2011,"open"
2011-08-25,2011,"open"
2011-08-26,2011,"open"
2011-08-27,2011,"open"
2011-08-28,2011,"open"
2011-08-29,2011,"open"
2011-08-30,2011,"open"
2011-08-31,2011,"open"
2011-09-01,2011,"open"
2011-09-02,2011,"open"
2011-09-03,2011,"open"
2011-09-04,2011,"open"
2011-09-05,2011,"open"
2011-09-06,2011,"open"
2011-09-07,2011,"open"
2011-09-08,2011,"open"
2011-09-09,2011,"open"
2011-09-10,2011,"open"
2011-09-11,2011,"open"
2011-09-12,2011,"open"
2011-09-13,2011,"open"
2011-09-14,2011,"open"
2011-09-15,2011,"open"
2011-09-16,2011,"open"
2011-09-17,2011,"open"
2011-09-18,2011,"open"
2011-09-19,2011,"open"
2011-09-20,2011,"open"
2011-09-21,2011,"open"
2011-09-22,2011,"open"
2011-09-23,2011,"open"
2011-09-24,2011,"open"
2011-09-25,2011,"open"
2011-09-26,2011,"open"
2011-09-27,2011,"open"
2011-09-28,2011,"open"
2011-09-29,2011,"open"
2011-09-30,2011,"open"
2012-07-01,2012,"open"
2012-07-02,2012,"open"
2012-07-03,2012,"open"
2012-07-04,2012,"open"
2012-07-05,2012,"open"
2012-07-06,2012,"open"
2012-07-07,2012,"open"
2012-07-08,2012,"open"
2012-07-09,2012,"open"
2012-07-10,2012,"open"
2012-07-11,2012,"open"
2012-07-12,2012,"open"
2012-07-13,2012,"open"
2012-07-14,2012,"open"
2012-07-15,2012,"open"
2012-07-16,2012,"open"
2012-07-17,2012,"open"
2012-07-18,2012,"open"
2012-07-19,2012,"open"
2012-07-20,2012,"open"
2012-07-21,2012,"open"
2012-07-22,2012,"open"
2012-07-23,2012,"open"
2012-07-24,2012,"open"
2012-07-25,2012,"open"
2012-07-26,2012,"open"
2012-07-27,2012,"open"
2012-07-28,2012,"open"
2012-07-29,2012,"open"
2012-07-30,2012,"open"
2012-07-31,2012,"open"
2012-08-01,2012,"open"
2012-08-02,2012,"open"
2012-08-03,2012,"open"
2012-08-04,2012,"open"
2012-08-05,2012,"open"
2012-08-06,2012,"open"
2012-08-07,2012,"open"
2012-08-08,2012,"open"
2012-08-09,2012,"open"
2012-08-10,2012,"open"
2012-08-11,2012,"open"
2012-08-12,2012,"open"
2012-08-13,2012,"open"
2012-08-14,2012,"open"
2012-08-15,2012,"open"
2012-08-16,2012,"open"
2012-08-17,2012,"open"
2012-08-18,2012,"open"
2012-08-19,2012,"open"
2012-08-20,2012,"open"
2012-08-21,2012,"open"
2012-08-22,2012,"open"
2012-08-23,2012,"open"
2012-08-24,2012,"open"
2012-08-25,2012,"open"
2012-08-26,2012,"open"
2012-08-27,2012,"open"
2012-08-28,2012,"open"
2012-08-29,2012,"open"
2012-08-30,2012,"open"
2012-08-31,2012,"open"
2012-09-01,2012,"open"
2012-09-02,2012,"open"
2012-09-03,2012,"open"
2012-09-04,2012,"open"
2012-09-05,2012,"open"
2012-09-06,2012,"open"
2012-09-07,2012,"open"
2012-09-08,2012,"open"
2012-09-09,2012,"open"
2012-09-10,2012,"open"
2012-09-11,2012,"open"
2012-09-12,2012,"open"
2012-09-13,2012,"open"
2012-09-14,2012,"open"
2012-09-15,2012,"open"
2012-09-16,2012,"open"
2012-09-17,2012,"open"
2012-09-18,2012,"open"
2012-09-19,2012,"open"
2012-09-20,2012,"open"
2012-09-21,2012,"open"
2012-09-22,2012,"open"
2012-09-23,2012,"open"
2012-09-24,2012,"open"
2012-09-25,2012,"open"
2012-09-26,2012,"open"
2012-09-27,2012,"open"
2012-09-28,2012,"open"
2012-09-29,2012,"open"
2012-09-30,2012,"open"
2013-07-01,2013,"open"
2013-07-02,2013,"open"
2013-07-03,2013,"open"
2013-07-04,2013,"open"
2013-07-05,2013,"open"
2013-07-06,2013,"open"
2013-07-07,2013,"open"
2013-07-08,2013,"open"
2013-07-09,2013,"open"
2013-07-10,2013,"open"
2013-07-11,2013,"open"
2013-07-12,2013,"open"
2013-07-13,2013,"open"
2013-07-14,2013,"open"
2013-07-15,2013,"open"
2013-07-16,2013,"open"
2013-07-17,2013,"open"
2013-07-18,2013,"open"
2013-07-19,2013,"open"
2013-07-20,2013,"open"
2013-07-21,2013,"open"
2013-07-22,2013,"open"
2013-07-23,2013,"open"
2013-07-24,2013,"open"
2013-07-25,2013,"open"
2013-07-26,2013,"open"
2013-07-27,2013,"open"
2013-07-28,2013,"open"
2013-07-29,2013,"open"
2013-07-30,2013,"open"
2013-07-31,2013,"open"
2013-08-01,2013,"open"
2013-08-02,2013,"open"
2013-08-03,2013,"open"
2013-08-04,2013,"open"
2013-08-05,2013,"open"
2013-08-06,2013,"open"
2013-08-07,2013,"open"
2013-08-08,2013,"open"
2013-08-09,2013,"open"
2013-08-10,2013,"open"
2013-08-11,2013,"open"
2013-08-12,2013,"open"
2013-08-13,2013,"open"
2013-08-14,2013,"open"
2013-08-15,2013,"open"
2013-08-16,2013,"open"
2013-08-17,2013,"open"
2013-08-18,2013,"open"
2013-08-19,2013,"open"
2013-08-20,2013,"open"
2013-08-21,2013,"open"
2013-08-22,2013,"open"
2013-08-23,2013,"open"
2013-08-24,2013,"open"
2013-08-25,2013,"open"
2013-08-26,2013,"open"
2013-08-27,2013,"open"
2013-08-28,2013,"open"
2013-08-29,2013,"open"
2013-08-30,2013,"open"
2013-08-31,2013,"open"
2013-09-01,2013,"open"
2013-09-02,2013,"open"
2013-09-03,2013,"open"
2013-09-04,2013,"open"
2013-09-05,2013,"open"
2013-09-06,2013,"open"
2013-09-07,2013,"open"
2013-09-08,2013,"open"
2013-09-09,2013,"open"
2013-09-10,2013,"open"
2013-09-11,2013,"open"
2013-09-12,2013,"open"
2013-09-13,2013,"open"
2013-09-14,2013,"open"
2013-09-15,2013,"open"
2013-09-16,2013,"open"
2013-09-17,2013,"open"
2013-09-18,2013,"open"
2013-09-19,2013,"open"
2013-09-20,2013,"open"
2013-09-21,2013,"open"
2013-09-22,2013,"open"
2013-09-23,2013,"open"
2013-09-24,2013,"open"
2013-09-25,2013,"open"
2013-09-26,2013,"open"
2013-09-27,2013,"open"
2013-09-28,2013,"open"
2013-09-29,2013,"open"
2013-09-30,2013,"open"
2014-07-01,2014,"open"
2014-07-02,2014,"open"
2014-07-03,2014,"open"
2014-07-04,2014,"open"
2014-07-05,2014,"open"
2014-07-06,2014,"open"
2014-07-07,2014,"open"
2014-07-08,2014,"open"
2014-07-09,2014,"open"
2014-07-10,2014,"open"
2014-07-11,2014,"open"
2014-07-12,2014,"open"
2014-07-13,2014,"open"
2014-07-14,2014,"open"
2014-07-15,2014,"open"
2014-07-16,2014,"open"
2014-07-17,2014,"open"
2014-07-18,2014,"open"
2014-07-19,2014,"open"
2014-07-20,2014,"open"
2014-07-21,2014,"open"
2014-07-22,2014,"open"
2014-07-23,2014,"open"
2014-07-24,2014,"open"
2014-07-25,2014,"open"
2014-07-26,2014,"open"
2014-07-27,2014,"open"
2014-07-28,2014,"open"
2014-07-29,2014,"open"
2014-07-30,2014,"open"
2014-07-31,2014,"open"
2014-08-01,2014,"open"
2014-08-02,2014,"open"
2014-08-03,2014,"open"
2014-08-04,2014,"open"
2014-08-05,2014,"open"
2014-08-06,2014,"open"
2014-08-07,2014,"open"
2014-08-08,2014,"open"
2014-08-09,2014,"open"
2014-08-10,2014,"open"
2014-08-11,2014,"open"
2014-08-12,2014,"open"
2014-08-13,2014,"open"
2014-08-14,2014,"open"
2014-08-15,2014,"open"
2014-08-16,2014,"open"
2014-08-17,2014,"open"
2014-08-18,2014,"open"
2014-08-19,2014,"open"
2014-08-20,2014,"open"
2014-08-21,2014,"open"
2014-08-22,2014,"open"
2014-08-23,2014,"open"
2014-08-24,2014,"open"
2014-08-25,2014,"open"
2014-08-26,2014,"open"
2014-08-27,2014,"open"
2014-08-28,2014,"open"
2014-08-29,2014,"open"
2014-08-30,2014,"open"
2014-08-31,2014,"open"
2014-09-01,2014,"open"
2014-09-02,2014,"open"
2014-09-03,2014,"open"
2014-09-04,2014,"open"
2014-09-05,2014,"open"
2014-09-06,2014,"open"
2014-09-07,2014,"open"
2014-09-08,2014,"open"
2014-09-09,2014,"open"
2014-09-10,2014,"open"
2014-09-11,2014,"open"
2014-09-12,2014,"open"
2014-09-13,2014,"open"
2014-09-14,2014,"open"
2014-09-15,2014,"open"
2014-09-16,2014,"open"
2014-09-17,2014,"open"
2014-09-18,2014,"open"
2014-09-19,2014,"open"
2014-09-20,2014,"open"
2014-09-21,2014,"open"
2014-09-22,2014,"open"
2014-09-23,2014,"open"
2014-09-24,2014,"open"
2014-09-25,2014,"open"
2014-09-26,2014,"open"
2014-09-27,2014,"open"
2014-09-28,2014,"open"
2014-09-29,2014,"open"
2014-09-30,2014,"open"
2015-07-01,2015,"open"
2015-07-02,2015,"open"
2015-07-03,2015,"open"
2015-07-04,2015,"open"
2015-07-05,2015,"open"
2015-07-06,2015,"open"
2015-07-07,2015,"open"
2015-07-08,2015,"open"
2015-07-09,2015,"open"
2015-07-10,2015,"open"
2015-07-11,2015,"open"
2015-07-12,2015,"open"
2015-07-13,2015,"open"
2015-07-14,2015,"open"
2015-07-15,2015,"open"
2015-07-16,2015,"open"
2015-07-17,2015,"open"
2015-07-18,2015,"open"
2015-07-19,2015,"open"
2015-07-20,2015,"open"
2015-07-21,2015,"open"
2015-07-22,2015,"open"
2015-07-23,2015,"open"
2015-07-24,2015,"open"
2015-07-25,2015,"open"
2015-07-26,2015,"open"
2015-07-27,2015,"open"
2015-07-28,2015,"open"
2015-07-29,2015,"open"
2015-07-30,2015,"open"
2015-07-31,2015,"open"
2015-08-01,2015,"open"
2015-08-02,2015,"open"
2015-08-03,2015,"open"
2015-08-04,2015,"open"
2015-08-05,2015,"open"
2015-08-06,2015,"open"
2015-08-07,2015,"open"
2015-08-08,2015,"open"
2015-08-09,2015,"open"
2015-08-10,2015,"open"
2015-08-11,2015,"open"
2015-08-12,2015,"open"
2015-08-13,2015,"open"
2015-08-14,2015,"open"
2015-08-15,2015,"open"
2015-08-16,2015,"open"
2015-08-17,2015,"open"
2015-08-18,2015,"open"
2015-08-19,2015,"open"
2015-08-20,2015,"open"
2015-08-21,2015,"open"
2015-08-22,2015,"open"
2015-08-23,2015,"open"
2015-08-24,2015,"open"
2015-08-25,2015,"open"
2015-08-26,2015,"open"
2015-08-27,2015,"open"
2015-08-28,2015,"open"
2015-08-29,2015,"open"
2015-08-30,2015,"open"
2015-08-31,2015,"open"
2015-09-01,2015,"open"
2015-09-02,2015,"open"
2015-09-03,2015,"open"
2015-09-04,2015,"open"
2015-09-05,2015,"open"
2015-09-06,2015,"open"
2015-09-07,2015,"open"
2015-09-08,2015,"open"
2015-09-09,2015,"open"
2015-09-10,2015,"open"
2015-09-11,2015,"open"
2015-09-12,2015,"open"
2015-09-13,2015,"open"
2015-09-14,2015,"open"
2015-09-15,2015,"open"
2015-09-16,2015,"open"
2015-09-17,2015,"open"
2015-09-18,2015,"open"
2015-09-19,2015,"open"
2015-09-20,2015,"open"
2015-09-21,2015,"open"
2015-09-22,2015,"open"
2015-09-23,2015,"open"
2015-09-24,2015,"open"
2015-09-25,2015,"open"
2015-09-26,2015,"open"
2015-09-27,2015,"open"
2015-09-28,2015,"open"
2015-09-29,2015,"open"
2015-09-30,2015,"open"
2016-07-01,2016,"open"
2016-07-02,2016,"open"
2016-07-03,2016,"open"
2016-07-04,2016,"open"
2016-07-05,2016,"open"
2016-07-06,2016,"open"
2016-07-07,2016,"open"
2016-07-08,2016,"open"
2016-07-09,2016,"open"
2016-07-10,2016,"open"
2016-07-11,2016,"open"
2016-07-12,2016,"open"
2016-07-13,2016,"open"
2016-07-14,2016,"open"
2016-07-15,2016,"open"
2016-07-16,2016,"open"
2016-07-17,2016,"open"
2016-07-18,2016,"open"
2016-07-19,2016,"open"
2016-07-20,2016,"open"
2016-07-21,2016,"open"
2016-07-22,2016,"open"
2016-07-23,2016,"open"
2016-07-24,2016,"open"
2016-07-25,2016,"open"
2016-07-26,2016,"open"
2016-07-27,2016,"open"
2016-07-28,2016,"open"
2016-07-29,2016,"open"
2016-07-30,2016,"open"
2016-07-31,2016,"open"
2016-08-01,2016,"open"
2016-08-02,2016,"open"
2016-08-03,2016,"open"
2016-08-04,2016,"open"
2016-08-05,2016,"open"
2016-08-06,2016,"open"
2016-08-07,2016,"open"
2016-08-08,2016,"open"
2016-08-09,2016,"open"
2016-08-10,2016,"open"
2016-08-11,2016,"open"
2016-08-12,2016,"open"
2016-08-13,2016,"open"
2016-08-14,2016,"open"
2016-08-15,2016,"open"
2016-08-16,2016,"open"
2016-08-17,2016,"open"
2016-08-18,2016,"open"
2016-08-19,2016,"open"
2016-08-20,2016,"open"
2016-08-21,2016,"open"
2016-08-22,2016,"open"
2016-08-23,2016,"open"
2016-08-24,2016,"open"
2016-08-25,2016,"open"
2016-08-26,2016,"open"
2016-08-27,2016,"open"
2016-08-28,2016,"open"
2016-08-29,2016,"open"
2016-08-30,2016,"open"
2016-08-31,2016,"open"
2016-09-01,2016,"open"
2016-09-02,2016,"open"
2016-09-03,2016,"open"
2016-09-04,2016,"open"
2016-09-05,2016,"open"
2016-09-06,2016,"open"
2016-09-07,2016,"open"
2016-09-08,2016,"open"
2016-09-09,2016,"open"
2016-09-10,2016,"open"
2016-09-11,2016,"open"
2016-09-12,2016,"open"
2016-09-13,2016,"open"
2016-09-14,2016,"open"
2016-09-15,2016,"open"
2016-09-16,2016,"open"
2016-09-17,2016,"open"
2016-09-18,2016,"open"
2016-09-19,2016,"open"
2016-09-20,2016,"open"
2016-09-21,2016,"open"
2016-09-22,2016,"open"
2016-09-23,2016,"open"
2016-09-24,2016,"open"
2016-09-25,2016,"open"
2016-09-26,2016,"open"
2016-09-27,2016,"open"
2016-09-28,2016,"open"
2016-09-29,2016,"open"
2016-09-30,2016,"open"
2017-07-01,2017,"open"
2017-07-02,2017,"open"
2017-07-03,2017,"open"
2017-07-04,2017,"open"
2017-07-05,2017,"open"
2017-07-06,2017,"open"
2017-07-07,2017,"open"
2017-07-08,2017,"open"
2017-07-09,2017,"open"
2017-07-10,2017,"open"
2017-07-11,2017,"open"
2017-07-12,2017,"open"
2017-07-13,2017,"open"
2017-07-14,2017,"open"
2017-07-15,2017,"open"
2017-07-16,2017,"open"
2017-07-17,2017,"open"
2017-07-18,2017,"open"
2017-07-19,2017,"open"
2017-07-20,2017,"open"
2017-07-21,2017,"open"
2017-07-22,2017,"open"
2017-07-23,2017,"open"
2017-07-24,2017,"open"
2017-07-25,2017,"open"
2017-07-26,2017,"open"
2017-07-27,2017,"open"
2017-07-28,2017,"open"
2017-07-29,2017,"open"
2017-07-30,2017,"open"
2017-07-31,2017,"open"
2017-08-01,2017,"open"
2017-08-02,2017,"open"
2017-08-03,2017,"open"
2017-08-04,2017,"open"
2017-08-05,2017,"open"
2017-08-06,2017,"open"
2017-08-07,2017,"open"
2017-08-08,2017,"open"
2017-08-09,2017,"open"
2017-08-10,2017,"open"
2017-08-11,2017,"open"
2017-08-12,2017,"open"
2017-08-13,2017,"open"
2017-08-14,2017,"open"
2017-08-15,2017,"open"
2017-08-16,2017,"open"
2017-08-17,2017,"open"
2017-08-18,2017,"open"
2017-08-19,2017,"open"
2017-08-20,2017,"open"
2017-08-21,2017,"open"
2017-08-22,2017,"open"
2017-08-23,2017,"open"
2017-08-24,2017,"open"
2017-08-25,2017,"open"
2017-08-26,2017,"open"
2017-08-27,2017,"open"
2017-08-28,2017,"open"
2017-08-29,2017,"open"
2017-08-30,2017,"open"
2017-08-31,2017,"open"
2017-09-01,2017,"open"
2017-09-02,2017,"open"
2017-09-03,2017,"open"
2017-09-04,2017,"open"
2017-09-05,2017,"open"
2017-09-06,2017,"open"
2017-09-07,2017,"open"
2017-09-08,2017,"open"
2017-09-09,2017,"open"
2017-09-10,2017,"open"
2017-09-11,2017,"open"
2017-09-12,2017,"open"
2017-09-13,2017,"open"
2017-09-14,2017,"open"
2017-09-15,2017,"open"
2017-09-16,2017,"open"
2017-09-17,2017,"open"
2017-09-18,2017,"open"
2017-09-19,2017,"open"
2017-09-20,2017,"open"
2017-09-21,2017,"open"
2017-09-22,2017,"open"
2017-09-23,2017,"open"
2017-09-24,2017,"open"
2017-09-25,2017,"open"
2017-09-26,2017,"open"
2017-09-27,2017,"open"
2017-09-28,2017,"open"
2017-09-29,2017,"open"
2017-09-30,2017,"open"
2018-07-01,2018,"open"
2018-07-02,2018,"open"
2018-07-03,2018,"open"
2018-07-04,2018,"open"
2018-07-05,2018,"open"
2018-07-06,2018,"open"
2018-07-07,2018,"open"
2018-07-08,2018,"open"
2018-07-09,2018,"open"
2018-07-10,2018,"open"
2018-07-11,2018,"open"
2018-07-12,2018,"open"
2018-07-13,2018,"open"
2018-07-14,2018,"open"
2018-07-15,2018,"open"
2018-07-16,2018,"open"
2018-07-17,2018,"open"
2018-07-18,2018,"open"
2018-07-19,2018,"open"
2018-07-20,2018,"open"
2018-07-21,2018,"open"
2018-07-22,2018,"open"
2018-07-23,2018,"open"
2018-07-24,2018,"open"
2018-07-25,2018,"open"
2018-07-26,2018,"open"
2018-07-27,2018,"open"
2018-07-28,2018,"open"
2018-07-29,2018,"open"
2018-07-30,2018,"open"
2018-07-31,2018,"open"
2018-08-01,2018,"open"
2018-08-02,2018,"open"
2018-08-03,2018,"open"
2018-08-04,2018,"open"
2018-08-05,2018,"open"
2018-08-06,2018,"open"
2018-08-07,2018,"open"
2018-08-08,2018,"open"
2018-08-09,2018,"open"
2018-08-10,2018,"open"
2018-08-11,2018,"open"
2018-08-12,2018,"open"
2018-08-13,2018,"open"
2018-08-14,2018,"open"
2018-08-15,2018,"open"
2018-08-16,2018,"open"
2018-08-17,2018,"open"
2018-08-18,2018,"open"
2018-08-19,2018,"open"
2018-08-20,2018,"open"
2018-08-21,2018,"open"
2018-08-22,2018,"open"
2018-08-23,2018,"open"
2018-08-24,2018,"open"
2018-08-25,2018,"open"
2018-08-26,2018,"open"
2018-08-27,2018,"open"
2018-08-28,2018,"open"
2018-08-29,2018,"open"
2018-08-30,2018,"open"
2018-08-31,2018,"open"
2019-07-01,2019,"open"
2019-07-02,2019,"open"
2019-07-03,2019,"open"
2019-07-04,2019,"open"
2019-07-05,2019,"open"
2019-07-06,2019,"open"
2019-07-07,2019,"open"
2019-07-08,2019,"open"
2019-07-09,2019,"open"
2019-07-10,2019,"open"
2019-07-11,2019,"open"
2019-07-12,2019,"open"
2019-07-13,2019,"open"
2019-07-14,2019,"open"
2019-07-15,2019,"open"
2019-07-16,2019,"open"
2019-07-17,2019,"open"
2019-07-18,2019,"open"
2019-07-19,2019,"open"
2019-07-20,2019,"open"
2019-07-21,2019,"open"
2019-07-22,2019,"open"
2019-07-23,2019,"open"
2019-07-24,2019,"open"
2019-07-25,2019,"open"
2019-07-26,2019,"open"
2019-07-27,2019,"open"
2019-07-28,2019,"open"
2019-07-29,2019,"open"
2019-07-30,2019,"open"
2019-07-31,2019,"open"
2020-07-01,2020,"open"
2020-07-02,2020,"open"
2020-07-03,2020,"open"
2020-07-04,2020,"open"
2020-07-05,2020,"open"
2020-07-06,2020,"open"
2020-07-07,2020,"open"
2020-07-08,2020,"open"
2020-07-09,2020,"open"
2020-07-10,2020,"open"
2020-07-11,2020,"open"
2020-07-12,2020,"open"
2020-07-13,2020,"open"
2020-07-14,2020,"open"
2020-07-15,2020,"open"
2020-07-16,2020,"open"
2020-07-17,2020,"open"
2020-07-18,2020,"open"
2020-07-19,2020,"open"
2020-07-20,2020,"open"
2020-07-21,2020,"open"
2020-07-22,2020,"open"
2020-07-23,2020,"open"
2020-07-24,2020,"open"
2020-07-25,2020,"open"
2020-07-26,2020,"open"
2020-07-27,2020,"open"
2020-07-28,2020,"open"
2020-07-29,2020,"open"
2020-07-30,2020,"open"
2020-07-31,2020,"open"
2020-08-01,2020,"closed"
2020-08-02,2020,"closed"
2020-08-03,2020,"closed"
2020-08-04,2020,"closed"
2020-08-05,2020,"closed"
2020-08-06,2020,"closed"
2020-08-07,2020,"closed"
2020-08-08,2020,"closed"
2020-08-09,2020,"closed"
2020-08-10,2020,"closed"
2020-08-11,2020,"closed"
2020-08-12,2020,"closed"
2020-08-13,2020,"closed"
2020-08-14,2020,"closed"
2020-08-15,2020,"closed"
2020-08-16,2020,"closed"
2020-08-17,2020,"closed"
2020-08-18,2020,"closed"
2020-08-19,2020,"closed"
2020-08-20,2020,"closed"
2020-08-21,2020,"closed"
2020-08-22,2020,"open"
2020-08-23,2020,"open"
2020-08-24,2020,"open"
2020-08-25,2020,"open"
2020-08-26,2020,"open"
2020-08-27,2020,"open"
2020-08-28,2020,"open"
2020-08-29,2020,"open"
2020-08-30,2020,"open"
2020-08-31,2020,"open"
2021-07-01,2021,"open"
2021-07-02,2021,"open"
2021-07-03,2021,"open"
2021-07-04,2021,"open"
2021-07-05,2021,"open"
2021-07-06,2021,"open"
2021-07-07,2021,"open"
2021-07-08,2021,"closed"
2021-07-09,2021,"closed"
2021-07-10,2021,"closed"
2021-07-11,2021,"closed"
2021-07-12,2021,"closed"
2021-07-13,2021,"closed"
2021-07-14,2021,"closed"
2021-07-15,2021,"closed"
2021-07-16,2021,"closed"
2021-07-17,2021,"closed"
2021-07-18,2021,"closed"
2021-07-19,2021,"closed"
2021-07-20,2021,"closed"
2021-07-21,2021,"closed"
2021-07-22,2021,"closed"
2021-07-23,2021,"closed"
2021-07-24,2021,"closed"
2021-07-25,2021,"closed"
2021-07-26,2021,"closed"
2021-07-27,2021,"closed"
2021-07-28,2021,"closed"
2021-07-29,2021,"closed"
2021-07-30,2021,"closed"
2021-07-31,2021,"closed"
2022-07-01,2022,"closed"
2022-07-02,2022,"closed"
2022-07-03,2022,"closed"
2022-07-04,2022,"closed"
2022-07-05,2022,"closed"
2022-07-06,2022,"closed"
2022-07-07,2022,"closed"
2022-07-08,2022,"closed"
2022-07-09,2022,"closed"
2022-07-10,2022,"closed"
2022-07-11,2022,"closed"
2022-07-12,2022,"closed"
2022-07-13,2022,"open"
2022-07-14,2022,"open"
2022-07-15,2022,"open"
2022-07-16,2022,"closed"
2022-07-17,2022,"closed"
2022-07-18,2022,"closed"
2022-07-19,2022,"closed"
2022-07-20,2022,"closed"
2022-07-21,2022,"open"
2022-07-22,2022,"open"
2022-07-23,2022,"open"
2022-07-24,2022,"closed"
2022-07-25,2022,"closed"
2022-07-26,2022,"closed"
2022-07-27,2022,"closed"
2022-07-28,2022,"open"
2022-07-29,2022,"open"
2022-07-30,2022,"open"
2022-07-31,2022,"closed"
