"","md_date","year","fishery_status","orcas_sighted","md_date_for","date","sighting"
"1","1-Jul",2020,"open","yes","07/01",2020-07-01,"yes"
"2","2-Jul",2020,"open","yes","07/02",2020-07-02,"yes"
"3","3-Jul",2020,"open","yes","07/03",2020-07-03,"yes"
"4","4-Jul",2020,"open","yes","07/04",2020-07-04,"yes"
"5","5-Jul",2020,"open","yes","07/05",2020-07-05,"yes"
"6","6-Jul",2020,"open","yes","07/06",2020-07-06,"yes"
"7","7-Jul",2020,"open","yes","07/07",2020-07-07,"yes"
"8","8-Jul",2020,"open","yes","07/08",2020-07-08,"yes"
"9","9-Jul",2020,"open","yes","07/09",2020-07-09,"yes"
"10","10-Jul",2020,"open","yes","07/10",2020-07-10,"yes"
"11","11-Jul",2020,"open","yes","07/11",2020-07-11,"yes"
"12","12-Jul",2020,"open","yes","07/12",2020-07-12,"yes"
"13","13-Jul",2020,"open","yes","07/13",2020-07-13,"yes"
"14","14-Jul",2020,"open","yes","07/14",2020-07-14,"yes"
"15","15-Jul",2020,"open","yes","07/15",2020-07-15,"yes"
"16","16-Jul",2020,"open","no","07/16",2020-07-16,"no"
"17","17-Jul",2020,"open","yes","07/17",2020-07-17,"yes"
"18","18-Jul",2020,"open","yes","07/18",2020-07-18,"yes"
"19","19-Jul",2020,"open","no","07/19",2020-07-19,"no"
"20","20-Jul",2020,"open","no","07/20",2020-07-20,"no"
"21","21-Jul",2020,"open","no","07/21",2020-07-21,"no"
"22","22-Jul",2020,"open","no","07/22",2020-07-22,"no"
"23","23-Jul",2020,"open","no","07/23",2020-07-23,"no"
"24","24-Jul",2020,"open","yes","07/24",2020-07-24,"yes"
"25","25-Jul",2020,"open","yes","07/25",2020-07-25,"yes"
"26","26-Jul",2020,"open","no","07/26",2020-07-26,"no"
"27","27-Jul",2020,"open","no","07/27",2020-07-27,"no"
"28","28-Jul",2020,"open","yes","07/28",2020-07-28,"yes"
"29","29-Jul",2020,"open","no","07/29",2020-07-29,"no"
"30","30-Jul",2020,"open","no","07/30",2020-07-30,"no"
"31","31-Jul",2020,"open","no","07/31",2020-07-31,"no"
"32","1-Aug",2020,"closed","no","08/01",2020-08-01,"no"
"33","2-Aug",2020,"closed","no","08/02",2020-08-02,"no"
"34","3-Aug",2020,"closed","no","08/03",2020-08-03,"no"
"35","4-Aug",2020,"closed","no","08/04",2020-08-04,"no"
"36","5-Aug",2020,"closed","no","08/05",2020-08-05,"no"
"37","6-Aug",2020,"closed","no","08/06",2020-08-06,"no"
"38","7-Aug",2020,"closed","yes","08/07",2020-08-07,"yes"
"39","8-Aug",2020,"closed","no","08/08",2020-08-08,"no"
"40","9-Aug",2020,"closed","no","08/09",2020-08-09,"no"
"41","10-Aug",2020,"closed","no","08/10",2020-08-10,"no"
"42","11-Aug",2020,"closed","no","08/11",2020-08-11,"no"
"43","12-Aug",2020,"closed","no","08/12",2020-08-12,"no"
"44","13-Aug",2020,"closed","no","08/13",2020-08-13,"no"
"45","14-Aug",2020,"closed","no","08/14",2020-08-14,"no"
"46","15-Aug",2020,"closed","no","08/15",2020-08-15,"no"
"47","16-Aug",2020,"closed","yes","08/16",2020-08-16,"yes"
"48","17-Aug",2020,"closed","yes","08/17",2020-08-17,"yes"
"49","18-Aug",2020,"closed","yes","08/18",2020-08-18,"yes"
"50","19-Aug",2020,"closed","yes","08/19",2020-08-19,"yes"
"51","20-Aug",2020,"closed","no","08/20",2020-08-20,"no"
"52","21-Aug",2020,"closed","yes","08/21",2020-08-21,"yes"
"53","22-Aug",2020,"open","no","08/22",2020-08-22,"no"
"54","23-Aug",2020,"open","no","08/23",2020-08-23,"no"
"55","24-Aug",2020,"open","yes","08/24",2020-08-24,"yes"
"56","25-Aug",2020,"open","no","08/25",2020-08-25,"no"
"57","26-Aug",2020,"open","no","08/26",2020-08-26,"no"
"58","27-Aug",2020,"open","no","08/27",2020-08-27,"no"
"59","28-Aug",2020,"open","no","08/28",2020-08-28,"no"
"60","29-Aug",2020,"open","no","08/29",2020-08-29,"no"
"61","30-Aug",2020,"open","yes","08/30",2020-08-30,"yes"
"62","31-Aug",2020,"open","no","08/31",2020-08-31,"no"
"63","1-Jul",2021,"open","yes","07/01",2021-07-01,"yes"
"64","2-Jul",2021,"open","yes","07/02",2021-07-02,"yes"
"65","3-Jul",2021,"open","no","07/03",2021-07-03,"no"
"66","4-Jul",2021,"open","no","07/04",2021-07-04,"no"
"67","5-Jul",2021,"open","no","07/05",2021-07-05,"no"
"68","6-Jul",2021,"open","no","07/06",2021-07-06,"no"
"69","7-Jul",2021,"open","no","07/07",2021-07-07,"no"
"70","8-Jul",2021,"closed","no","07/08",2021-07-08,"no"
"71","9-Jul",2021,"closed","no","07/09",2021-07-09,"no"
"72","10-Jul",2021,"closed","no","07/10",2021-07-10,"no"
"73","11-Jul",2021,"closed","no","07/11",2021-07-11,"no"
"74","12-Jul",2021,"closed","no","07/12",2021-07-12,"no"
"75","13-Jul",2021,"closed","no","07/13",2021-07-13,"no"
"76","14-Jul",2021,"closed","no","07/14",2021-07-14,"no"
"77","15-Jul",2021,"closed","no","07/15",2021-07-15,"no"
"78","16-Jul",2021,"closed","no","07/16",2021-07-16,"no"
"79","17-Jul",2021,"closed","no","07/17",2021-07-17,"no"
"80","18-Jul",2021,"closed","no","07/18",2021-07-18,"no"
"81","19-Jul",2021,"closed","no","07/19",2021-07-19,"no"
"82","20-Jul",2021,"closed","no","07/20",2021-07-20,"no"
"83","21-Jul",2021,"closed","no","07/21",2021-07-21,"no"
"84","22-Jul",2021,"closed","no","07/22",2021-07-22,"no"
"85","23-Jul",2021,"closed","no","07/23",2021-07-23,"no"
"86","24-Jul",2021,"closed","no","07/24",2021-07-24,"no"
"87","25-Jul",2021,"closed","no","07/25",2021-07-25,"no"
"88","26-Jul",2021,"closed","no","07/26",2021-07-26,"no"
"89","27-Jul",2021,"closed","yes","07/27",2021-07-27,"yes"
"90","28-Jul",2021,"closed","no","07/28",2021-07-28,"no"
"91","29-Jul",2021,"closed","no","07/29",2021-07-29,"no"
"92","30-Jul",2021,"closed","no","07/30",2021-07-30,"no"
"93","31-Jul",2021,"closed","no","07/31",2021-07-31,"no"
"94","1-Jul",2022,"closed","no","07/01",2022-07-01,"no"
"95","2-Jul",2022,"closed","no","07/02",2022-07-02,"no"
"96","3-Jul",2022,"closed","no","07/03",2022-07-03,"no"
"97","4-Jul",2022,"closed","no","07/04",2022-07-04,"no"
"98","5-Jul",2022,"closed","no","07/05",2022-07-05,"no"
"99","6-Jul",2022,"closed","no","07/06",2022-07-06,"no"
"100","7-Jul",2022,"closed","no","07/07",2022-07-07,"no"
"101","8-Jul",2022,"closed","no","07/08",2022-07-08,"no"
"102","9-Jul",2022,"closed","yes","07/09",2022-07-09,"yes"
"103","10-Jul",2022,"closed","yes","07/10",2022-07-10,"yes"
"104","11-Jul",2022,"closed","yes","07/11",2022-07-11,"yes"
"105","12-Jul",2022,"closed","yes","07/12",2022-07-12,"yes"
"106","13-Jul",2022,"open","yes","07/13",2022-07-13,"yes"
"107","14-Jul",2022,"open","no","07/14",2022-07-14,"no"
"108","15-Jul",2022,"open","no","07/15",2022-07-15,"no"
"109","16-Jul",2022,"closed","no","07/16",2022-07-16,"no"
"110","17-Jul",2022,"closed","no","07/17",2022-07-17,"no"
"111","18-Jul",2022,"closed","no","07/18",2022-07-18,"no"
"112","19-Jul",2022,"closed","no","07/19",2022-07-19,"no"
"113","20-Jul",2022,"closed","no","07/20",2022-07-20,"no"
"114","21-Jul",2022,"open","no","07/21",2022-07-21,"no"
"115","22-Jul",2022,"open","yes","07/22",2022-07-22,"yes"
"116","23-Jul",2022,"open","yes","07/23",2022-07-23,"yes"
"117","24-Jul",2022,"closed","yes","07/24",2022-07-24,"yes"
"118","25-Jul",2022,"closed","yes","07/25",2022-07-25,"yes"
"119","26-Jul",2022,"closed","yes","07/26",2022-07-26,"yes"
"120","27-Jul",2022,"closed","yes","07/27",2022-07-27,"yes"
"121","28-Jul",2022,"open","yes","07/28",2022-07-28,"yes"
"122","29-Jul",2022,"open","yes","07/29",2022-07-29,"yes"
"123","30-Jul",2022,"open","yes","07/30",2022-07-30,"no"
"124","31-Jul",2022,"closed","no","07/31",2022-07-31,"no"
"125","1-Jul",2023,"closed","yes","07/01",2023-07-01,"no"
"126","2-Jul",2023,"closed","yes","07/02",2023-07-02,"no"
"127","3-Jul",2023,"closed","yes","07/03",2023-07-03,"no"
"128","4-Jul",2023,"closed","yes","07/04",2023-07-04,"no"
"129","5-Jul",2023,"closed","no","07/05",2023-07-05,"no"
"130","6-Jul",2023,"closed","no","07/06",2023-07-06,"no"
"131","7-Jul",2023,"closed","no","07/07",2023-07-07,"no"
"132","8-Jul",2023,"closed","no","07/08",2023-07-08,"no"
"133","9-Jul",2023,"closed","no","07/09",2023-07-09,"no"
"134","10-Jul",2023,"closed","no","07/10",2023-07-10,"no"
"135","11-Jul",2023,"closed","no","07/11",2023-07-11,"no"
"136","12-Jul",2023,"closed","no","07/12",2023-07-12,"no"
"137","13-Jul",2023,"open","no","07/13",2023-07-13,"no"
"138","14-Jul",2023,"open","no","07/14",2023-07-14,"no"
"139","15-Jul",2023,"open","no","07/15",2023-07-15,"no"
"140","16-Jul",2023,"closed","no","07/16",2023-07-16,"no"
"141","17-Jul",2023,"closed","no","07/17",2023-07-17,"no"
"142","18-Jul",2023,"closed","no","07/18",2023-07-18,"no"
"143","19-Jul",2023,"closed","no","07/19",2023-07-19,"no"
"144","20-Jul",2023,"closed","no","07/20",2023-07-20,"no"
"145","21-Jul",2023,"open","no","07/21",2023-07-21,"no"
"146","22-Jul",2023,"closed","no","07/22",2023-07-22,"no"
"147","23-Jul",2023,"closed","no","07/23",2023-07-23,"no"
"148","24-Jul",2023,"closed","no","07/24",2023-07-24,"no"
"149","25-Jul",2023,"closed","no","07/25",2023-07-25,"no"
"150","26-Jul",2023,"closed","no","07/26",2023-07-26,"no"
"151","27-Jul",2023,"closed","no","07/27",2023-07-27,"no"
"152","28-Jul",2023,"open","no","07/28",2023-07-28,"no"
"153","29-Jul",2023,"open","no","07/29",2023-07-29,"no"
"154","30-Jul",2023,"closed","no","07/30",2023-07-30,"no"
"155","31-Jul",2023,"closed","no","07/31",2023-07-31,"no"
"156","1-Aug",2023,"closed","no","08/01",2023-08-01,"no"
"157","2-Aug",2023,"closed","no","08/02",2023-08-02,"no"
"158","3-Aug",2023,"closed","no","08/03",2023-08-03,"no"
"159","4-Aug",2023,"closed","no","08/04",2023-08-04,"no"
"160","5-Aug",2023,"closed","no","08/05",2023-08-05,"no"
"161","6-Aug",2023,"closed","no","08/06",2023-08-06,"no"
"162","7-Aug",2023,"closed","no","08/07",2023-08-07,"no"
"163","8-Aug",2023,"closed","no","08/08",2023-08-08,"no"
"164","9-Aug",2023,"closed","yes","08/09",2023-08-09,"no"
"165","10-Aug",2023,"closed","no","08/10",2023-08-10,"no"
"166","11-Aug",2023,"closed","no","08/11",2023-08-11,"no"
"167","12-Aug",2023,"closed","no","08/12",2023-08-12,"no"
"168","13-Aug",2023,"closed","no","08/13",2023-08-13,"no"
"169","14-Aug",2023,"closed","no","08/14",2023-08-14,"no"
"170","15-Aug",2023,"closed","no","08/15",2023-08-15,"no"
"171","16-Aug",2023,"closed","no","08/16",2023-08-16,"no"
"172","17-Aug",2023,"closed","yes","08/17",2023-08-17,"no"
"173","18-Aug",2023,"closed","yes","08/18",2023-08-18,"no"
"174","19-Aug",2023,"closed","yes","08/19",2023-08-19,"no"
"175","20-Aug",2023,"closed","yes","08/20",2023-08-20,"no"
"176","21-Aug",2023,"closed","yes","08/21",2023-08-21,"no"
"177","22-Aug",2023,"closed","no","08/22",2023-08-22,"no"
"178","23-Aug",2023,"closed","no","08/23",2023-08-23,"no"
"179","24-Aug",2023,"closed","no","08/24",2023-08-24,"no"
"180","25-Aug",2023,"closed","no","08/25",2023-08-25,"no"
"181","26-Aug",2023,"closed","no","08/26",2023-08-26,"no"
"182","27-Aug",2023,"closed","no","08/27",2023-08-27,"no"
"183","28-Aug",2023,"closed","no","08/28",2023-08-28,"no"
"184","29-Aug",2023,"closed","no","08/29",2023-08-29,"no"
"185","30-Aug",2023,"closed","no","08/30",2023-08-30,"no"
"186","31-Aug",2023,"closed","no","08/31",2023-08-31,"no"
